Package                       Version
----------------------------- ------------
absl-py                       2.0.0
accelerate                    0.24.1
aiohttp                       3.9.1
aiosignal                     1.3.1
aiostream                     0.5.2
altair                        5.2.0
anyio                         3.7.1
asgiref                       3.7.2
asttokens                     2.4.1
async-timeout                 4.0.3
attributedict                 0.3.0
attrs                         23.1.0
autoawq                       0.1.7
awswrangler                   3.4.2
backcall                      0.2.0
backports.functools-lru-cache 1.6.5
backports.zoneinfo            0.2.1
beautifulsoup4                4.12.2
blessings                     1.7
blinker                       1.7.0
boto3                         1.34.4
botocore                      1.34.4
bs4                           0.0.1
cachetools                    5.3.2
certifi                       2023.11.17
chardet                       5.2.0
charset-normalizer            3.3.2
click                         8.1.7
cloudpickle                   2.0.0
codecov                       2.1.13
colorama                      0.4.6
coloredlogs                   15.0.1
colour-runner                 0.1.1
comm                          0.1.4
coverage                      7.3.2
DataProperty                  1.0.1
datasets                      2.15.0
debugpy                       1.6.7
decorator                     5.1.1
deepdiff                      6.7.1
dill                          0.3.7
distlib                       0.3.7
distro                        1.8.0
einops                        0.7.0
exceptiongroup                1.2.0
executing                     2.0.1
fastapi                       0.104.1
filelock                      3.13.1
frozenlist                    1.4.0
fsspec                        2023.10.0
gitdb                         4.0.11
GitPython                     3.1.40
google-api-core               2.15.0
google-auth                   2.25.2
google-cloud-bigquery         3.14.1
google-cloud-core             2.4.1
google-cloud-pubsub           2.19.0
google-cloud-storage          2.14.0
google-crc32c                 1.5.0
google-resumable-media        2.7.0
googleapis-common-protos      1.62.0
grpc-google-iam-v1            0.13.0
grpcio                        1.60.0
grpcio-status                 1.60.0
grpclib                       0.4.3
h11                           0.14.0
h2                            4.1.0
hpack                         4.0.0
httpcore                      1.0.2
httptools                     0.6.1
httpx                         0.25.2
huggingface-hub               0.19.4
humanfriendly                 10.0
hyperframe                    6.0.1
idna                          3.4
importlib-metadata            6.8.0
importlib-resources           6.1.1
inspecta                      0.1.3
install                       1.3.5
ipykernel                     6.26.0
ipython                       8.12.2
jedi                          0.19.1
Jinja2                        3.1.2
jmespath                      1.0.1
joblib                        1.3.2
jsonlines                     4.0.0
jsonschema                    4.20.0
jsonschema-specifications     2023.11.1
jupyter_client                8.6.0
jupyter_core                  5.5.0
lm-eval                       0.3.0
markdown-it-py                3.0.0
MarkupSafe                    2.1.3
matplotlib-inline             0.1.6
mbstrdecoder                  1.1.3
mdurl                         0.1.2
modal                         0.55.4127
mpmath                        1.3.0
msgpack                       1.0.7
multidict                     6.0.4
multiprocess                  0.70.15
mysql-connector-python-rf     2.2.2
nest-asyncio                  1.5.8
networkx                      3.1
ninja                         1.11.1.1
nltk                          3.8.1
numexpr                       2.8.6
numpy                         1.24.4
nvidia-cublas-cu12            12.1.3.1
nvidia-cuda-cupti-cu12        12.1.105
nvidia-cuda-nvrtc-cu12        12.1.105
nvidia-cuda-runtime-cu12      12.1.105
nvidia-cudnn-cu12             8.9.2.26
nvidia-cufft-cu12             11.0.2.54
nvidia-curand-cu12            10.3.2.106
nvidia-cusolver-cu12          11.4.5.107
nvidia-cusparse-cu12          12.1.0.106
nvidia-nccl-cu12              2.18.1
nvidia-nvjitlink-cu12         12.3.101
nvidia-nvtx-cu12              12.1.105
openai                        1.3.5
ordered-set                   4.1.0
packaging                     23.2
pandas                        2.0.3
parso                         0.8.3
pathvalidate                  3.2.0
peft                          0.7.1
pexpect                       4.8.0
pickleshare                   0.7.5
Pillow                        10.1.0
pip                           23.3
pkgutil_resolve_name          1.3.10
platformdirs                  4.0.0
pluggy                        1.3.0
portalocker                   2.8.2
prompt-toolkit                3.0.41
proto-plus                    1.23.0
protobuf                      4.25.1
psutil                        5.9.5
psycopg2-binary               2.9.9
ptyprocess                    0.7.0
pure-eval                     0.2.2
pyarrow                       14.0.1
pyarrow-hotfix                0.6
pyasn1                        0.5.1
pyasn1-modules                0.3.0
pybind11                      2.11.1
pycountry                     22.3.5
pydantic                      1.10.13
pydeck                        0.8.1b0
Pygments                      2.17.1
PyMySQL                       1.1.0
pyproject-api                 1.6.1
pytablewriter                 1.2.0
python-dateutil               2.8.2
python-dotenv                 1.0.0
pytz                          2023.3.post1
PyYAML                        6.0.1
pyzmq                         23.0.0
ray                           2.8.0
referencing                   0.31.0
regex                         2023.10.3
requests                      2.31.0
rich                          13.7.0
